casiz	filename	CASIZ method	copyright method	copyright	rejected	path on disk
193187	CASIZ193187-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193187-001.TIF
193186	CASIZ193186-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193186-001.TIF
193189	CASIZ193189-001_compressed.jpg	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193189-001_compressed.jpg
193188	CASIZ193188-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193188-001.TIF
193187	CASIZ193187-001.jpg	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193187-001.jpg
193189	CASIZ193189-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193189-001.TIF
193192	CASIZ193192-001_compressed.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193192-001_compressed.TIF
193196	CASIZ193196-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193196-001.TIF
-	casiz193192-001_compressed.xcf	-	None	-	Forbidden extension	/volumes/data/izg/iz images/adbctimetrials/casiz193192-001_compressed.xcf
193194	CASIZ193194-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193194-001.TIF
193191	CASIZ193191-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193191-001.TIF
193193	CASIZ193193-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193193-001.TIF
193192	CASIZ193192-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193192-001.TIF
193197	CASIZ193197-001_compressed.jpg	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193197-001_compressed.jpg
193190	CASIZ193190-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193190-001.TIF
193196	CASIZ193196-001_compressed.jpg	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193196-001_compressed.jpg
193192	CASIZ193192-001_compressed.jpg	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193192-001_compressed.jpg
193195	CASIZ193195-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193195-001.TIF
193197	CASIZ193197-001.TIF	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193197-001.TIF
193197	CASIZ193197-001_compressed.tif	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/CASIZ193197-001_compressed.tif
-	thumbs.db	-	None	-	Forbidden extension	/volumes/data/izg/iz images/adbctimetrials/thumbs.db
193185	casiz193185-001.tif	Filename	None	-	*	/volumes/data/izg/iz images/ADBCTimeTrials/casiz193185-001.tif
-	casiz193185-001.tif_exiftool_tmp	-	None	-	Forbidden extension	/volumes/data/izg/iz images/adbctimetrials/casiz193185-001.tif_exiftool_tmp
-	alijos bathycyathus.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos bathycyathus.jpg
-	alijos anemone.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos anemone.jpg
-	al. big pharia.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/al. big pharia.jpg
-	alijos ascidians.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos ascidians.jpg
-	alijos aplysina.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos aplysina.jpg
-	alijos moray.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos moray.jpg
-	alijos pharia.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alijos pharia.jpg
-	alpheus paracrinitus.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/alpheus paracrinitus.jpg
-	dolphins jump.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/dolphins jump.jpg
-	guadalupe cardinals.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guadalupe cardinals.jpg
-	eucidaris.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/eucidaris.jpg
-	hypselodoris.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/hypselodoris.jpg
-	guadalupe island.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guadalupe island.jpg
-	guad. butterfly.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guad. butterfly.jpg
-	guad. wrasse.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guad. wrasse.jpg
-	guad. spondylus.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guad. spondylus.jpg
-	guad. garibaldi.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guad. garibaldi.jpg
-	lovenia.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/lovenia.jpg
-	lysmata argentopunctata.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/lysmata argentopunctata.jpg
-	notes on photographs from.doc	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alijos expeds/notes on photographs from.doc
-	ophiuroidea.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/ophiuroidea.jpg
-	lg.cuc. guad.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/lg.cuc. guad.jpg
-	guad.moray.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/guad.moray.jpg
-	starfish.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/starfish.jpg
-	snipefish.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/snipefish.jpg
-	the alijos.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/the alijos.jpg
-	wt-tail damsel on ridge.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/wt-tail damsel on ridge.jpg
-	sally lightfoot.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/sally lightfoot.jpg
-	scorpaena.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alijos expeds/scorpaena.jpg
-	thumbs.db	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alijos expeds/thumbs.db
-	site.css	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/site.css
-	imnjq4ilondgd53obeu5csf-jsfctxpjl8jhw99s3atfezwgffhn4ujlfrbh52jhwd9owqsuzr48jhb3zrjtjdmajd4kwq8kfstxhkoydemtoazyscoudpodswmyscmdsebrzpordhxcjazyscoudpordhxcjau8pfucjw40iax0sabujw48s.download	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/imnjq4ilondgd53obeu5csf-jsfctxpjl8jhw99s3atfezwgffhn4ujlfrbh52jhwd9owqsuzr48jhb3zrjtjdmajd4kwq8kfstxhkoydemtoazyscoudpodswmyscmdsebrzpordhxcjazyscoudpordhxcjau8pfucjw40iax0sabujw48s.download
-	css	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/css
-	saved_resource	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/saved_resource
-	test-cllcns-ent2-+147(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+147(1).jpg
-	common-5e2983f8da9ebf4607c4-min.en-us.js.download	-	None	-	Forbidden extension	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/common-5e2983f8da9ebf4607c4-min.en-us.js.download
-	test-cllcns-ent2-+147.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+147.jpg
-	test-cllcns-ent2-+157(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+157(1).jpg
-	test-cllcns-ent2-+158(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+158(1).jpg
-	test-cllcns-ent2-+157.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+157.jpg
-	test-cllcns-ent2-+158.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+158.jpg
-	test-cllcns-ent2-+17(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+17(1).jpg
-	test-cllcns-ent2-+52(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+52(1).jpg
-	test-cllctns-bot-+151(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+151(1).jpg
-	test-cllcns-ent2-+40(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+40(1).jpg
-	test-cllcns-ent2-+179.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+179.jpg
-	test-cllctns-bot-+151.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+151.jpg
-	test-cllcns-ent2-+21.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+21.jpg
-	test-cllctns-bot-+129.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+129.jpg
-	test-cllcns-ent2-+52.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+52.jpg
-	test-cllcns-ent2-+212(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+212(1).jpg
-	test-cllctns-bot-+129(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+129(1).jpg
-	test-cllcns-ent2-+21(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+21(1).jpg
-	test-cllctns-bot-+59(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+59(1).jpg
-	test-cllcns-ent2-+17.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+17.jpg
-	test-cllcns-ent2-+179(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+179(1).jpg
-	test-cllcns-ent2-+212.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+212.jpg
-	test-cllcns-ent2-+40.jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+40.jpg
-	test-cllcns-ent2-+77(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllcns-ent2-+77(1).jpg
-	test-cllctns-bot-+55(1).jpg	-	None	-	no casiz match for exif, filename, or directory.	/volumes/data/izg/iz images/alex farnum images/alex farnum 14_files/test-cllctns-bot-+55(1).jpg
